"","gene","Granulocytes 1","Granulocytes 2","Granulocytes 3","Granulocytes 4","Granulocytes 5","Granulocytes 6","Granulocytes 7","C7","Granulocytes 8"
"1409","Gm14010",0.0830541556278436,0.109580581841471,0.120939712336913,0.143566625216729,0.115172318782833,0.193412181636036,0.20785764722868,0,0.0597516520102951
"1410","Gm29010",0.0020203188159248,0,0.00569144473884026,0.011596255782573,0,0.0344928694664365,0.00985478202430987,0,0.00679823825241067
"1411","Anapc1",0.0143966520905372,0.0523118643532547,0.099085220536909,0.0251371363556572,0.0833879853192373,0.0984464152443605,0.0301793744707029,0.156272130810964,0.0437231121218029
"1412","Mertk",0,0,0,0,0,0,0,0.0721780804964805,0
"1413","Tmem87b",0.0321053535355069,0.0837266403006555,0.164974048438396,0.0790875869924293,0.12155827463359,0.170563631340529,0.0387118887285511,0.308823053570002,0.089177740416902
"1414","Zc3h8",0,0.0173085974269961,0.119117035686364,0,0.0136879686458026,0.113638692848055,0.0433189634155948,0.0180719106464872,0
"1415","Gm10762",0.0318904894840422,0.022749759994768,0.0922005829224151,0.0302267012287283,0.0673233359125424,0.05477872112723,0.0345875861081016,0.0332973457799139,0.0470767050574981
"1416","Zc3h6",0.00692938968851384,0.0271217915478112,0.0698654994112622,0.0122682159180838,0.032743705719072,0.0344762462618423,0.0275968776504521,0.0207336725288506,0.0372086635595559
"1417","Ttl",0,0.0108000831218297,0,0.00107311968091163,0,0,0.00729225501348578,0.0528617661404001,0
"1418","Polr1b",0,0,0.00269664054339731,0,0.0103011710559031,0,0,0.00584668086999617,0
"1419","Chchd5",0.0128756655722337,0,0.108913597366538,0.0191769567246951,0.0111356207404603,0.0720339485294734,0.0815275635923172,0.0887653119747435,0
"1420","Slc20a1",0.267134665716365,0.192567073322839,0.208910666889099,0.247635351986357,0.144728018392104,0.345875528495683,0.283634925764944,0.090545144573392,0.78914803887458
"1421","Ckap2l",0.0223114884291394,0.0118525898646788,0.00239388620322061,0.0782187748359984,0.0155298354842523,0.0311068927417455,0.00958578875735767,0.00593817157398738,0.11018300533339
"1422","Gm14023",0.0228015701386656,0.0169360995303351,0.042910463675944,0.0665041322127098,0.0178916847388336,0.022248820417836,0.00968535185280272,0.00375042303649322,0.0668110633079114
"1423","Il1a",1.33000826770992,1.05392413754145,0.67448542533204,2.41566677096036,0.913506314550558,0.788579920943253,1.28622472119683,1.48216734550215,1.69628124955343
"1424","Il1b",4.5835001188763,2.57624320654272,2.59660799194241,3.73435971457546,2.74108688350517,2.10955318502978,4.01540197019549,3.57771378288267,3.20247273714904
"1425","Il1bos",0.114039218242304,0.0478191927314322,0.0391599754636156,0.119242199554502,0.0293421992871688,0.0495499330542393,0.134337781059025,0.0142625889911199,0.0931850392560286
"1426","Gm14040",0.00253551864220296,0.00241799024298619,0.0113289808850145,0.00111108258417713,0,0.0289224592478918,0,0,0
"1427","Sirpa",0.351832684211745,0.638709788104448,0.731615737110509,0.558050098200104,0.578344307429718,1.00143142472964,0.780812794836569,0.878702876292243,0.441390734461986
"1428","Stk35",0.0173597567142213,0.026669731630517,0.0880900817824861,0.0224417757699862,0.0428116938313323,0.0650055947576524,0.0269805694115387,0.127382629290449,0.0874059053874264
"1429","Tgm3",0.00146734889489728,0.0171492243006569,0,0,0.0119672543026023,0,0,0.0218228573072888,0
"1430","Snrpb",0.254059559287991,0.442577337103244,1.30591830676374,0.360312639015467,0.534330342364584,0.942933386976497,0.584281155963906,0.811137113886576,0.151781463628952
"1431","Nop56",0.0119227544894879,0.0505339048483727,0.204783325758858,0.0411845482969704,0.0506064133188197,0.0719063642882831,0.0564842665258417,0.166198199065906,0.109950849449157
"1432","Idh3b",0.0421694156876406,0.0828447774362521,0.272505086814575,0.0578918548385962,0.0841212546072288,0.203187026626783,0.0682687471452783,0.213816085918564,0.0942525756933467
"1433","Pced1a",0.0145084265572529,0.0337458577042427,0.0634202153440972,0.0372129052701592,0.0321181866824348,0.0641600902570431,0.0151397999626954,0.0237904194152817,0.060389415900798
"1434","Vps16",0.0538420753464351,0.126317214123474,0.195180530340303,0.0638489992376446,0.101770547181023,0.19008210713241,0.0995604782370587,0.103262218588995,0.0471833121872191
"1435","Ptpra",0.110778777879434,0.172959053536576,0.308242163882575,0.16138359921913,0.250128793833547,0.197075032620974,0.226792810179788,0.675808510733499,0.0264143467860112
"1436","Mrps26",0.00128723638121018,0.0166204115471811,0.0863069208581012,0.00111936141827349,0.0183197370234765,0.0410167817763128,0.0414772908938071,0.125141218910014,0
"1437","Ubox5",0.00660721405521144,0.00925795191043473,0.0373885350700336,0.00778318763862723,0.0179984111604675,0.0200971394230543,0.0188330033888578,0.0160945139013221,0.00655267399335219
"1438","Fastkd5",0.00439779627350129,0.0116306785696639,0.0397573662631314,0.00252802959557046,0,0.0244723997783754,0,0.0195905598522802,0
"1439","Lzts3",0,0.00365493044306217,0,0.00196972673461683,0.00319531864118005,0.0048714048009935,0,0.0111224213252746,0
"1440","Ddrgk1",0.0676360524574857,0.093030575445993,0.369393104844931,0.064206792123155,0.124175734578554,0.143475400278941,0.142386599207226,0.445739180751571,0
"1441","Itpa",0.0149136703411821,0.046594583154137,0.150863484788086,0.0323799201905222,0.0606172550111453,0.184054547942333,0.0673993161905983,0.217074932425777,0.0132874662904607
"1442","Slc4a11",0.00345240642868725,0,0,0,0,0.0310865637842109,0,0.0495516761883647,0
"1443","4930402H24Rik",0.0681906663700969,0.129010371320743,0.0909465138474543,0.132938501448155,0.0787052128385255,0.101524733320605,0.0512325394979903,0.165818005061308,0.0834897086441822
"1444","A730017L22Rik",0,0.00389168901670546,0.0302046626400832,0.00176781749274672,0,0,0,0,0.051564033766582
"1445","Atrn",0.0691861760277299,0.0535222454373639,0.0832252666382441,0.017554849230661,0.0270710587927263,0.0130030413693383,0.0770676139901926,0.0962811058043977,0.0348345913857447
"1446","Siglec1",0,0,0,0,0,0,0.00544660689280559,0.00558209734845232,0
"1447","1700037H04Rik",0.0468143792655434,0.0782368568047678,0.136894508103222,0.0528758729987751,0.0812791592163337,0.165329212151125,0.0450200686104913,0.132797618533653,0.0669889000187613
"1448","Spef1",0.00877993960311927,0.00177408814072486,0.0124879870095349,0.00416289485683707,0,0,0,0.0148307857581206,0
"1449","Cenpb",0.0863777804604418,0.153382216757033,0.268447422978848,0.0868688188833292,0.228314900372821,0.298334781762268,0.204900750307958,0.422009199917431,0.11453666790033
"1450","Cdc25b",0.074483259702105,0.0635932700342506,0.0569774284718706,0.0694113650212807,0.0720541303936947,0.100072641497954,0.192854944972865,0.0572026768200147,0.0579753815278546
"1451","Ap5s1",0.0631256137030101,0.0751825589527875,0.0970529352633087,0.0242788966515217,0.0778249961791429,0.103772909766908,0.169863754397434,0.13055666156187,0.109812194422019
"1452","Mavs",0,0,0.00329027757467403,0.00082859080344929,0,0,0,0.0117924455560452,0
"1453","Pank2",0.25259569242597,0.260577614413293,0.37713940846941,0.261454392848643,0.279261441794008,0.362369199027144,0.308318622469241,0.243551245252597,0.206970016396639
"1454","Rnf24",0.162911030577706,0.0966190728758885,0.047082135120748,0.125183693012377,0.107571942447394,0.0696064075627763,0.0961932820143803,0.0244904394903783,0.197175375961437
"1455","Smox",1.93017144602259,1.49347759011934,0.895462189375584,1.58243003356734,1.26123244449353,1.02276895171777,1.53947620242604,1.18984708273407,1.56662901502234
"1456","Prnp",0.26386155815099,0.242329239283103,0.38697849286037,0.226990768145298,0.309624513660744,0.274074379654848,0.669225575530434,0.199300496348428,0.181320698915982
