"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Gpx1",1.09855680911213e-57,1.27475657468647,0.88,0.438,1.84063193366738e-53,"Granulocytes 1","Gpx1"
"Mmp9",1.00485386513931e-55,1.97606097443988,0.716,0.268,1.68363265104092e-51,"Granulocytes 1","Mmp9"
"Acod1",1.81318687562787e-55,-2.16060895999563,0.267,0.697,3.03799461011449e-51,"Granulocytes 1","Acod1"
"S100a11",3.25068659014636e-54,1.60960086559593,0.939,0.742,5.44652538179023e-50,"Granulocytes 1","S100a11"
"F10",2.37560696905104e-52,-1.66883014032194,0.218,0.687,3.98032947664502e-48,"Granulocytes 1","F10"
"Rgs2",2.83705322508071e-52,1.61517192610444,0.631,0.159,4.75348267862273e-48,"Granulocytes 1","Rgs2"
"Cd52",2.66298649402905e-51,1.21905895595791,0.959,0.845,4.46183387074567e-47,"Granulocytes 1","Cd52"
"Ftl1",3.52677650935115e-51,-1.39874566799587,0.996,1,5.90911404141785e-47,"Granulocytes 1","Ftl1"
"Clec4e",8.95881774874422e-51,-1.96368108763989,0.624,0.839,1.50104991380209e-46,"Granulocytes 1","Clec4e"
"Pfn1",5.68231027694943e-50,0.918968862145019,0.971,0.826,9.52071086902878e-46,"Granulocytes 1","Pfn1"
"Selplg",1.24629239303589e-49,1.51693256027564,0.716,0.264,2.08816290453163e-45,"Granulocytes 1","Selplg"
"Igfbp6",1.30774333584482e-49,1.98288781205973,0.647,0.212,2.191123959208e-45,"Granulocytes 1","Igfbp6"
"Csf3r",2.30025959333233e-49,1.51132568017277,0.802,0.395,3.85408494862831e-45,"Granulocytes 1","Csf3r"
"Prdx5",1.3886309383365e-48,-1.18423840380003,0.929,0.966,2.3266511371828e-44,"Granulocytes 1","Prdx5"
"Ctsz",4.06685088709067e-48,-1.36274970284006,0.573,0.863,6.81400866132041e-44,"Granulocytes 1","Ctsz"
"Tpi1",7.64663925090749e-48,-1.41539918983981,0.506,0.837,1.28119440648955e-43,"Granulocytes 1","Tpi1"
"Tyrobp",1.41767414386774e-47,0.759412105089047,0.988,0.985,2.3753130280504e-43,"Granulocytes 1","Tyrobp"
"Fxyd5",1.05927075649802e-46,1.09620355966503,0.961,0.803,1.77480815251244e-42,"Granulocytes 1","Fxyd5"
"Hmox1",1.2278674290609e-46,-1.85646424938607,0.3,0.689,2.05729187739154e-42,"Granulocytes 1","Hmox1"
"Stk17b",7.52925967774216e-46,1.54734577314022,0.551,0.129,1.2615274590057e-41,"Granulocytes 1","Stk17b"
"Pilra",4.01963442572316e-45,1.37499780725251,0.696,0.258,6.73489748029915e-41,"Granulocytes 1","Pilra"
"Nfam1",1.81758645899555e-44,1.43927598066418,0.596,0.17,3.04536611204705e-40,"Granulocytes 1","Nfam1"
"Anxa1",2.21490445321247e-44,1.88053669973407,0.522,0.12,3.71107241135749e-40,"Granulocytes 1","Anxa1"
"Slc7a11",1.08022982874509e-43,-1.69843814614809,0.308,0.691,1.8099250780624e-39,"Granulocytes 1","Slc7a11"
"Ero1l",1.92983437303759e-42,-2.18638542582275,0.235,0.599,3.23343749202449e-38,"Granulocytes 1","Ero1l"
"Pglyrp1",5.50196464862703e-42,1.84972325324341,0.606,0.206,9.21854176877459e-38,"Granulocytes 1","Pglyrp1"
"Slpi",6.30425953149618e-42,-1.80397932856607,0.743,0.927,1.05627868450219e-37,"Granulocytes 1","Slpi"
"Cstb",2.47659543815142e-41,-1.15530765595958,0.741,0.94,4.1495356566227e-37,"Granulocytes 1","Cstb"
"Alox5ap",6.15867812216317e-41,1.00759639055809,0.922,0.736,1.03188651936844e-36,"Granulocytes 1","Alox5ap"
"Card19",1.23560644920199e-40,-1.24866082030703,0.647,0.867,2.07025860563793e-36,"Granulocytes 1","Card19"
"Atp6v1e1",2.64025095676579e-40,-1.2435478720845,0.573,0.811,4.42374047806108e-36,"Granulocytes 1","Atp6v1e1"
"Mif",3.48599214430549e-40,-1.12018635773468,0.749,0.946,5.84077983778386e-36,"Granulocytes 1","Mif"
"Cdk2ap2",1.02771232447228e-39,1.79699731283315,0.722,0.371,1.72193199965331e-35,"Granulocytes 1","Cdk2ap2"
"Emb",1.27342878193579e-39,1.47154797341215,0.518,0.131,2.13362992413341e-35,"Granulocytes 1","Emb"
"Cst3",1.46202425217801e-39,1.02452179413608,0.939,0.71,2.44962163452426e-35,"Granulocytes 1","Cst3"
"Bsg",4.39170566597717e-39,-1.38945634704418,0.494,0.773,7.35830284334475e-35,"Granulocytes 1","Bsg"
"Ccl4",4.51951680724859e-39,-2.93580158478568,0.212,0.59,7.57245041054501e-35,"Granulocytes 1","Ccl4"
"Gm5150",5.90637541577763e-39,1.50661233609895,0.388,0.056,9.89613200913542e-35,"Granulocytes 1","Gm5150"
"Dhrs7",9.41177214593446e-39,1.34700583064949,0.506,0.127,1.57694242305132e-34,"Granulocytes 1","Dhrs7"
"Slc31a2",1.30066691322188e-38,-1.53161689790611,0.194,0.552,2.17926741310327e-34,"Granulocytes 1","Slc31a2"
"Arhgap45",2.32456937001081e-38,1.24280108876499,0.504,0.12,3.89481597945311e-34,"Granulocytes 1","Arhgap45"
"Sqstm1",7.62106489339593e-38,-1.59279260570046,0.245,0.603,1.27690942288849e-33,"Granulocytes 1","Sqstm1"
"Timm10b",3.38422470259546e-37,1.17411139388344,0.743,0.369,5.6702684891987e-33,"Granulocytes 1","Timm10b"
"Cotl1",1.3087673563916e-36,1.1631309182111,0.704,0.335,2.19283970563413e-32,"Granulocytes 1","Cotl1"
"Zeb2",1.43626009336341e-36,-1.52450776003813,0.269,0.622,2.40645378643039e-32,"Granulocytes 1","Zeb2"
"Tnf",5.50034169514439e-36,-2.11057143893905,0.139,0.487,9.21582251021443e-32,"Granulocytes 1","Tnf"
