"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Bnip2.1",2.4122246928329e-08,-0.305585161221227,0.274,0.425,0.000404168247284152,"Microglia 2","Bnip2"
"Zfyve16.1",2.47044359138808e-08,-0.240937414331039,0.034,0.117,0.000413922823737073,"Microglia 2","Zfyve16"
"Mast4.1",2.48992296695949e-08,-0.262862509380444,0.033,0.107,0.000417186593114063,"Microglia 2","Mast4"
"Tsga10.1",2.50438833114904e-08,-0.254365949648619,0.027,0.102,0.000419610264884022,"Microglia 2","Tsga10"
"Jpx.1",2.52398665388339e-08,-0.223505955885181,0.023,0.098,0.000422893963858162,"Microglia 2","Jpx"
"Pcbp1.1",2.53016982762673e-08,-0.29309353377899,0.437,0.593,0.000423929954618858,"Microglia 2","Pcbp1"
"Nfya.1",2.53264642193025e-08,-0.301706833157233,0.098,0.21,0.000424344907994413,"Microglia 2","Nfya"
"Fmo5.1",2.56500388590917e-08,-0.178380253624175,0.011,0.075,0.000429766401084082,"Microglia 2","Fmo5"
"Rbm8a.1",2.60740390147488e-08,0.413950858935066,0.458,0.364,0.000436870523692117,"Microglia 2","Rbm8a"
"Jkamp",2.61703778677774e-08,-0.312306017772955,0.107,0.224,0.00043848468117461,"Microglia 2","Jkamp"
"5830448L01Rik",2.6821965393686e-08,-0.047881017606346,0.002,0.026,0.00044940203017121,"Microglia 2","5830448L01Rik"
"March6.1",2.75820353206563e-08,-0.287660131724121,0.061,0.158,0.000462137001797596,"Microglia 2","March6"
"Nucb1.1",2.7745507795913e-08,-0.331217059897863,0.314,0.457,0.000464875983120523,"Microglia 2","Nucb1"
"Mms19.1",2.7749693418333e-08,-0.258157969832653,0.073,0.178,0.00046494611322417,"Microglia 2","Mms19"
"Slc11a1.1",2.77652305808989e-08,-0.357743102127595,0.257,0.4,0.000465206438382962,"Microglia 2","Slc11a1"
"Ndufaf8.1",2.81991593336673e-08,0.380294299708956,0.379,0.251,0.000472476914635595,"Microglia 2","Ndufaf8"
"Fuom.1",2.83822115816772e-08,0.29274655346108,0.115,0.038,0.000475543955051001,"Microglia 2","Fuom"
"Larp4.1",2.84195425953423e-08,-0.332979193674622,0.161,0.288,0.00047616943618496,"Microglia 2","Larp4"
"Dnttip2.1",2.84958502581747e-08,-0.340659380686966,0.121,0.235,0.000477447971075717,"Microglia 2","Dnttip2"
"Rab12.1",2.86687713007101e-08,-0.294776605829961,0.079,0.185,0.000480345263143398,"Microglia 2","Rab12"
"Oxct1.1",2.88498172094217e-08,-0.322758526332252,0.301,0.452,0.00048337868734386,"Microglia 2","Oxct1"
"Gm10382.1",2.88715544853861e-08,-0.183431134008916,0.008,0.065,0.000483742895402644,"Microglia 2","Gm10382"
"Pdp2.1",2.9832767449567e-08,-0.177296398723348,0.008,0.065,0.000499848018617496,"Microglia 2","Pdp2"
"Kif20b.1",2.99666940620509e-08,0.193130171668924,0.059,0.008,0.000502091959009663,"Microglia 2","Kif20b"
"Ythdf2.1",3.01496896328247e-08,-0.296928669856558,0.192,0.33,0.000505158049797978,"Microglia 2","Ythdf2"
"Slc50a1.1",3.02887900263732e-08,-0.312502719768255,0.224,0.368,0.000507488676891884,"Microglia 2","Slc50a1"
"Gm20703.1",3.03021757124185e-08,-0.212348821751353,0.017,0.085,0.000507712954061571,"Microglia 2","Gm20703"
"Mosmo.1",3.03480395897422e-08,-0.245621854819465,0.036,0.121,0.00050848140332613,"Microglia 2","Mosmo"
"Rufy3",3.03831857595262e-08,-0.231043060939016,0.034,0.118,0.000509070277400862,"Microglia 2","Rufy3"
"Mettl7a1.1",3.04038406875574e-08,-0.22321467500687,0.063,0.162,0.000509416350720025,"Microglia 2","Mettl7a1"
"Acsl4.1",3.05500170002181e-08,-0.292992035507866,0.102,0.217,0.000511865534838654,"Microglia 2","Acsl4"
"Nin.1",3.06207390774601e-08,-0.225240588974622,0.034,0.118,0.000513050483242844,"Microglia 2","Nin"
"Crbn.1",3.07027840272374e-08,-0.279234396810009,0.065,0.159,0.000514425146376363,"Microglia 2","Crbn"
"Ifi207.1",3.08908344992031e-08,0.365032322082618,0.215,0.103,0.000517575932034148,"Microglia 2","Ifi207"
"Paxbp1",3.17430430266685e-08,-0.244814039413984,0.057,0.154,0.000531854685911831,"Microglia 2","Paxbp1"
"Agps.1",3.21237880584849e-08,-0.298915663390974,0.123,0.24,0.000538234068919915,"Microglia 2","Agps"
"Sumo3.1",3.22674686745876e-08,0.365352489098569,0.31,0.202,0.000540641437642716,"Microglia 2","Sumo3"
"Gm17491.1",3.23410166260727e-08,-0.174393377058806,0.008,0.064,0.000541873733569848,"Microglia 2","Gm17491"
"Gm30329.1",3.27114503862571e-08,-0.1702571104982,0.008,0.059,0.000548080351221738,"Microglia 2","Gm30329"
"Mat2b.1",3.28246891692862e-08,-0.268664148139471,0.149,0.279,0.00054997766703139,"Microglia 2","Mat2b"
"Kdm4a.1",3.28879684451043e-08,-0.198593717469955,0.029,0.106,0.000551037911297722,"Microglia 2","Kdm4a"
"Id1.1",3.32413391346603e-08,0.235651055923899,0.054,0.007,0.000556958637201233,"Microglia 2","Id1"
"Ypel2.1",3.3631769076878e-08,-0.17275636639293,0.008,0.06,0.000563500290883091,"Microglia 2","Ypel2"
"Ccny.1",3.37056330538229e-08,-0.300671931195944,0.084,0.187,0.000564737881816803,"Microglia 2","Ccny"
"Kif1b.1",3.39025853567185e-08,-0.278781077529245,0.079,0.185,0.000568037817651818,"Microglia 2","Kif1b"
"Cab39.1",3.50661210937841e-08,-0.313020485823874,0.13,0.247,0.000587532858926353,"Microglia 2","Cab39"
"Faf2.1",3.53184397057634e-08,-0.319489324261505,0.111,0.222,0.000591760457270066,"Microglia 2","Faf2"
"Dyrk1a.1",3.5496523539717e-08,-0.248674247105798,0.05,0.142,0.000594744251907958,"Microglia 2","Dyrk1a"
"Tmem161b.1",3.59203594772397e-08,-0.227130695133409,0.029,0.106,0.000601845623041151,"Microglia 2","Tmem161b"
"Gm43466.1",3.64569919584232e-08,-0.108604805664237,0,0.036,0.000610836900263382,"Microglia 2","Gm43466"
"Zfp281",3.66014120239828e-08,-0.189375196149671,0.027,0.101,0.000613256658461832,"Microglia 2","Zfp281"
