"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Dhx37",0.0104362478845635,0.0790062439504754,0.023,0.005,1
"Slc35b1",0.469939921908094,0.0789970671704704,0.058,0.041,1
"Hspbp1",0.000632715885532558,0.0788711839789949,0.021,0,1
"Gm5547",0.0011087962857747,0.0788192396281866,0.019,0,1
"Ptgr2",0.183799177166042,0.0788157044478544,0.058,0.033,1
"Gm20536",0.547855179002469,0.0787933314242167,0.044,0.031,1
"Axin1",0.30651855806747,0.078792489215094,0.048,0.028,1
"Zbtb48",0.0836356973684123,0.0787913949413635,0.026,0.008,1
"Fndc3b",0.236205031024685,0.0787375880462021,0.157,0.126,1
"Get4",0.109750498702328,0.0787209097986653,0.056,0.031,1
"Reep4",0.153279172876429,0.0787022791089843,0.026,0.01,1
"Aatf",0.227104373578611,0.0786548180454008,0.062,0.039,1
"Ddx19b",0.0369642036085255,0.0786345636008551,0.019,0.003,1
"Mocs2",0.412621304403519,0.0786074121442256,0.071,0.051,1
"Rbm15",0.181428559474003,0.0786058270261886,0.042,0.023,1
"Cbr1",0.177050282328725,0.0785917754248258,0.042,0.023,1
"Kbtbd7",0.233453361855895,0.0785362944330519,0.041,0.033,1
"Hspa13",0.317163934278892,0.0785299295061793,0.081,0.057,1
"Rbm15b",0.327557144379165,0.0785124166166812,0.026,0.013,1
"Pfdn1",0.322806690198915,0.0784462813985844,0.099,0.072,1
"Rab5a",0.557682444603035,0.0784364567184951,0.282,0.252,1
"Cops6",0.219617140045538,0.0784021875985338,0.132,0.098,1
"Mturn",0.00194676198539925,0.0783280655076193,0.018,0,1
"Zbtb43",0.140708621378711,0.0783231047862338,0.053,0.028,1
"Batf2",0.0107195784375851,0.0782736107397467,0.012,0,1
"Smim8",0.11031715008783,0.0782431622467425,0.069,0.041,1
"Eif2a",0.0290773242854449,0.0782128609657476,0.026,0.005,1
"Tmem70",0.280776885597025,0.078054411848512,0.058,0.036,1
"Ltc4s",0.646680223991089,0.0779990804244066,0.06,0.046,1
"Gas2l1",0.136977744572987,0.0779433062317236,0.028,0.01,1
"Slc17a5",0.249168632567433,0.0778955186325767,0.026,0.013,1
"Dtwd1",0.0411788544447463,0.0777670544838274,0.025,0.005,1
"Slc39a1",0.27330086203467,0.0777094138691296,0.083,0.057,1
"Adsl",0.118751923359985,0.0776869494941472,0.025,0.008,1
"Fzd5",0.451478940368314,0.0776471094407245,0.019,0.01,1
"Pelp1",0.00357104363360102,0.0776356765586139,0.026,0.003,1
"Ubxn8",0.176188486994135,0.0775635021834103,0.028,0.021,1
"Guk1",0.0251525764433244,0.0775181997790433,0.086,0.051,1
"Sec62",0.587961500323099,0.0775172031800937,0.416,0.383,1
"Aptx",0.260868649643418,0.077514969476939,0.062,0.039,1
"Rnf121",0.00193403817334506,0.0774626558794006,0.039,0.01,1
"Uhrf2",0.183668767953644,0.077410287516205,0.079,0.051,1
"Zfp991",0.00110879628577465,0.0773950739603569,0.019,0,1
"Pomgnt1",0.21130853515628,0.0773847658110178,0.021,0.008,1
"Sos1",0.332093291294035,0.0773779441673624,0.046,0.028,1
"Tbc1d8",0.0423241785556832,0.0772714795141195,0.034,0.028,1
"Micu1",0.335176530728917,0.0772005787360134,0.122,0.093,1
"Tufm",0.0635573786844316,0.0770989321594139,0.023,0.005,1
"Gm15706",0.214619253686339,0.0769907875808938,0.021,0.008,1
"Tiprl",0.000311342556686602,0.0769550783143894,0.178,0.113,1
"Camta1",0.0974847651220961,0.0769140014540371,0.067,0.039,1
"Crybb1",0.332537117502554,0.0769067247713979,0.018,0.01,1
"Aaas",0.0876001731359185,0.0768592606856191,0.041,0.018,1
"Polr3d",0.025925077300058,0.0767017973788341,0.021,0.003,1
"Kpna4",0.367658005087177,0.0766883760689443,0.418,0.38,1
"Rmc1",0.81229697037398,0.0765553071694265,0.076,0.069,1
"Flad1",0.227909674398091,0.0765298971629873,0.049,0.028,1
"B3galt6",0.00342618671904344,0.076525433065307,0.016,0,1
"Mphosph6",0.0600785636631335,0.0763316454197096,0.028,0.008,1
