"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Sephs1",0.165925691533932,-0.00849002380397748,0.06,0.055,1
"Tctn3",0.822904337140097,-0.00850688123810123,0.012,0.015,1
"Carmil2",0.313453171243443,-0.00851481035261501,0,0.001,1
"6720489N17Rik",0.646638962021981,-0.00852529032418197,0.005,0.008,1
"Boll",0.313453171243531,-0.00852584549122156,0,0.001,1
"Gm19719",0.313453171243531,-0.00852584549122156,0,0.001,1
"Gm35572",0.480903790574268,-0.00852953846208223,0.001,0.004,1
"Apex1",0.908197927768018,-0.00854863179626142,0.205,0.204,1
"Gm41611",0.073174129608665,-0.00855869072892579,0.029,0.022,1
"Grtp1",0.671456776364054,-0.00857125892016099,0.005,0.008,1
"Pank4",0.000759933247633265,-0.00860141257025406,0.036,0.027,1
"Nos3",0.249040136395472,-0.0086052233557306,0.003,0.003,1
"Fchsd1",0.13500508948389,-0.00861638670310884,0.021,0.018,1
"Zc3hav1l",0.654650413796526,-0.00861811604600997,0.002,0.004,1
"Zfp951",0.584188626955878,-0.00862052903721852,0.022,0.027,1
"C1qb",0.909985901124861,-0.00862832697713589,0.991,0.992,1
"B930094E09Rik",0.313453171243646,-0.00863023630764512,0,0.001,1
"Kif7",0.313453171243646,-0.00863023630764512,0,0.001,1
"Gm39228",0.781594763193575,-0.00863443884407853,0.003,0.005,1
"Zdhhc3",0.345157969186921,-0.00863841035053808,0.102,0.097,1
"Prepl",0.320125594061029,-0.00865601385186879,0.026,0.023,1
"Pdxk",0.901582725150126,-0.00865861948672647,0.051,0.052,1
"Gm43936",0.804097305281714,-0.00866211191555217,0.006,0.008,1
"Ptpn12",0.833395068703462,-0.00866304390709367,0.042,0.041,1
"Zyx",0.808413470795512,-0.00867351583452702,0.199,0.193,1
"Crebl2",0.825581417873312,-0.00867553102294255,0.024,0.023,1
"Pnp2",0.871280929400211,-0.00867720084781198,0.019,0.021,1
"Kbtbd12",0.75628752507801,-0.00868344858267949,0.005,0.007,1
"Gm49774",0.590408444516405,-0.00868545806694205,0.007,0.008,1
"Xist",0.245365028439594,-0.00868747197949427,0.126,0.145,1
"Rfxank",0.0843974761658135,-0.00869462839730975,0.049,0.037,1
"Ptgr2",0.0329540322151368,-0.00872317287373181,0.159,0.142,1
"Gm49801",0.50572759354165,-0.00872537758107246,0.001,0.004,1
"Gm43604",0.119927207576879,-0.00874093738329451,0,0.003,1
"Ptpdc1",0.793208663920455,-0.00874912647347032,0.007,0.01,1
"Gm43118",0.119927207576896,-0.00875118245727841,0,0.003,1
"Cd247",0.231960727685368,-0.00876633418760533,0.005,0.004,1
"Vnn3",0.119927207576886,-0.00877091855658879,0,0.003,1
"9930012K11Rik",0.814137526176826,-0.00877834628633362,0.007,0.008,1
"Mbd5",0.541767604274434,-0.00881047548282368,0.087,0.081,1
"Zpbp",0.360245775663688,-0.0088108867434488,0.006,0.005,1
"Has3",0.313453171243552,-0.00881133121273506,0,0.001,1
"Fam220a.1",0.513753251127424,-0.00883679164454221,0.016,0.016,1
