"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rasl11a",0.910174453809656,-0.0222570410022679,0,0.004,1
"Gm48899",0.838173439065033,-0.022278973948407,0,0.008,1
"Tmem116",0.838173439065013,-0.022280676257025,0,0.008,1
"Psd3",0.838173439064911,-0.0222947380321527,0,0.008,1
"B230216N24Rik",0.838173439065128,-0.0222995036414622,0,0.008,1
"Tpm3-rs7",0.838173439065101,-0.0223064654940869,0,0.008,1
"BC049352",0.838173439065087,-0.022324627709725,0,0.008,1
"Gm30211",0.838173439065081,-0.0223307304273439,0,0.008,1
"Pde7b",0.838173439064931,-0.0223476513536747,0,0.008,1
"Gm20522",0.83817343906504,-0.0223581925851105,0,0.008,1
"Gm50287",0.83817343906506,-0.02239709658185,0,0.008,1
"Il4",0.910174453809887,-0.0224019208863349,0,0.004,1
"Trim32",0.838173439064918,-0.0224226429886559,0,0.008,1
"Dgat2",0.910174453809843,-0.0224567383184881,0,0.004,1
"Ebf1",0.910174453809843,-0.0224567383184881,0,0.004,1
"Gtse1",0.910174453809843,-0.0224567383184881,0,0.004,1
"Nr3c2",0.838173439064992,-0.0224681356769593,0,0.008,1
"Angptl4",0.777300225215341,-0.022473190654789,0,0.011,1
"Ank3",0.838173439065101,-0.0224748386790523,0,0.008,1
"Mex3d",0.838173439065108,-0.0225760004659447,0,0.008,1
"Lca5",0.838173439064972,-0.0226007070386742,0,0.008,1
"Gm15564",0.83817343906502,-0.0226024947179368,0,0.008,1
"Rnf24",0.838173439064877,-0.0226096796949093,0,0.008,1
"Rhobtb1",0.838173439065149,-0.0226181755523369,0,0.008,1
"Gm20721",0.777300225215505,-0.022618731815455,0,0.011,1
"Gm48696",0.910174453809881,-0.0226228122091122,0,0.004,1
"Lhpp",0.910174453809881,-0.0226228122091122,0,0.004,1
"Rnf152",0.910174453809881,-0.0226228122091122,0,0.004,1
"Tex15",0.910174453809881,-0.0226228122091122,0,0.004,1
"Vti1a",0.92368473986599,-0.0226297637332148,0.1,0.084,1
